"movie_id","movie_releaseYear","movie_title","movie_voteAverage","movie_voteNb","movie_budget"
264660,2015,"Ex Machina",7.6,8015,15000000
119193,2012,"What the Day Owes the Night",7.8,121,17
49047,2013,"Gravity",7.2,9575,105000000
3543,1987,"Bagdad Cafe",7.4,144,0
3175,1975,"Barry Lyndon",8,1148,11000000
539,1960,"Psycho",8.4,4934,806948
255343,2014,"Escobar: Paradise Lost",6.3,475,17000000
5503,1993,"The Fugitive",7.3,2057,44000000
1830,2005,"Lord of War",7.2,2266,50000000
87827,2012,"Life of Pi",7.3,8712,120000000
227306,2014,"Unbroken",7.4,2238,65000000
409,1996,"The English Patient",7.1,994,27000000
156022,2014,"The Equalizer",7.2,4981,55000000
226,1999,"Boys Don't Cry",7.5,635,2000000
5708,2007,"Control",7.6,382,0
273895,2014,"Selma",7.5,1351,20000000
253412,2015,"Everest",6.7,2868,55000000
801,1987,"Good Morning, Vietnam",7.3,1222,13000000
380,1988,"Rain Man",7.7,3154,25000000
819,1996,"Sleepers",7.5,1417,44000000
23168,2010,"The Town",7.1,2382,37000000
68734,2012,"Argo",7.2,5120,44500000
116745,2013,"The Secret Life of Walter Mitty",7.1,4853,90000000
87492,2014,"Foxcatcher",6.6,1407,24000000
4553,2004,"The Machinist",7.5,2411,5000000
158011,2013,"The Call",6.7,1773,13000000
207933,2014,"Stonehearst Asylum",6.7,690,0
117,1987,"The Untouchables",7.8,2753,25000000
203833,2013,"The Book Thief",7.5,2784,0
629,1995,"The Usual Suspects",8.2,5645,6000000
127585,2014,"X-Men: Days of Future Past",7.5,10044,250000000
269149,2016,"Zootopia",7.7,9959,150000000
21191,2009,"Sin Nombre",7.4,222,0
366885,2015,"Public Works",7.3,17,0
197950,2014,"The Connection",7.1,407,26000000
1555,2002,"The Spanish Apartment",7.2,499,5300000
1826,2005,"Russian Dolls",6.9,286,13000000
206408,2013,"Chinese Puzzle",6.6,376,0
788,1993,"Mrs. Doubtfire",7.1,3273,25000000
672,2002,"Harry Potter and the Chamber of Secrets",7.7,11771,100000000
