"genre_id","movie_id"
80,941
28,942
12,942
35,942
80,942
53,942
12,943
28,943
35,943
53,943
80,943
28,944
12,944
35,944
80,944
53,944
9648,12101
878,12101
53,12101
18,85350
27,348
878,348
28,98
18,98
12,98
28,855
36,855
10752,855
80,9740
18,9740
53,9740
27,9740
28,20662
12,20662
18,20662
18,286217
12,286217
878,286217
36,1904
10749,1904
18,1700
53,1700
18,293
36,11450
18,11450
28,22538
35,22538
10749,22538
35,13
18,13
10749,13
12,285783
18,285783
53,285783
12,11416
18,11416
28,11416
36,11416
27,805
18,805
9648,805
53,205775
18,205775
12,205775
28,205775
36,205775
35,186161
35,19908
27,19908
80,82682
18,82682
28,82682
53,82682
10752,256917
18,256917
18,312221
27,294963
37,294963
18,112336
18,14
80,4147
18,4147
53,4147
27,764
18,16121
10752,16121
18,245168
36,245168
80,158091
53,158091
18,158091
28,158091
37,938
37,335
37,336
18,311
80,311
18,11798
80,11798
53,272691
18,272691
18,389
18,153
10749,153
35,153
10749,152601
878,152601
18,152601
80,1429
18,1429
18,39486
18,935
35,935
10752,935
878,185
18,185
28,967
18,967
36,967
12,967
28,238713
35,238713
80,238713
18,84892
12,206563
80,206563
18,206563
53,206563
18,205220
18,76025
53,161
80,161
28,839
53,839
10770,839
18,424
36,424
10752,424
12,329
878,329
18,640
80,640
35,594
18,594
18,57212
10752,57212
53,296098
18,296098
12,11943
37,11943
53,11963
18,1367
18,1371
18,239566
10402,239566
9648,426
10749,426
53,426
18,205
36,205
10752,205
12,762
35,762
14,762
35,4543
35,239563
80,12473
18,12473
10402,12473
18,103663
14,4011
35,4011
28,364
14,364
35,522
18,522
36,522
18,2668
14,2668
53,2668
9648,2668
27,2668
10751,12155
14,12155
12,12155
18,87093
28,293660
12,293660
35,293660
18,314365
53,314365
36,314365
80,13008
18,13008
28,280
53,280
878,280
18,73
28,744
10749,744
28,9509
18,8967
14,8967
53,320318
53,172520
18,172520
18,1653
18,284293
35,83666
18,83666
10749,83666
35,120467
18,120467
18,1986
28,294254
878,294254
53,294254
27,377
35,703
18,703
10749,703
18,116
53,116
80,116
10749,116
18,184352
53,184352
9648,184352
18,322125
53,322125
35,401
18,401
10749,401
18,76758
36,76758
10752,76758
28,188927
12,188927
878,188927
35,303991
18,303991
12,309302
18,309302
35,290250
80,290250
9648,290250
